query,filter1,filter2,filter3,logic1,logic2,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
change management+AND+industry 4.0,TITLE,ABS,KEY,OR,AND,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,5.0
change management+AND+industry 4.0,TITLE,ABS,KEY,OR,OR,0.0,0.0,0.0,1.0,2.0,8.0,15.0,35.0,56.0,120.0,128.0
change management+AND+iot,TITLE,ABS,KEY,AND,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
change management+AND+iot,TITLE,ABS,KEY,AND,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
change management+AND+iot,TITLE,ABS,KEY,OR,AND,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,7.0,5.0,14.0
change management+AND+iotTITLE,ABS,KEY,OR,OR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+smart factory,TITLE,ABS,KEY,AND,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+smart factory,TITLE,ABS,KEY,AND,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+smart factory,TITLE,ABS,KEY,OR,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
change management+AND+smart factory,TITLE,ABS,KEY,OR,OR,3.0,0.0,0.0,3.0,5.0,8.0,7.0,3.0,10.0,24.0,9.0
change management+AND+cyber phycal system,TITLE,ABS,KEY,AND,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+cyber phycal system,TITLE,ABS,KEY,AND,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+cyber phycal system,TITLE,ABS,KEY,OR,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+cyber phycal system,TITLE,ABS,KEY,OR,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+wireless sensor network,TITLE,ABS,KEY,AND,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+wireless sensor network,TITLE,ABS,KEY,AND,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+wireless sensor network,TITLE,ABS,KEY,OR,AND,4.0,6.0,4.0,0.0,0.0,5.0,1.0,5.0,7.0,5.0,4.0
change management+AND+wireless sensor network,TITLE,ABS,KEY,OR,OR,36.0,50.0,36.0,53.0,67.0,45.0,28.0,60.0,42.0,56.0,41.0
